"","gsm","gse","gsm_title","platform","blood.subgroup","predsex","predage","predcell.CD8T","predcell.CD4T","predcell.NK","predcell.Bcell","predcell.Mono","predcell.Gran","glint.epi.pc1","glint.epi.pc2"
"GSM3440561.1607013450.hlink.GSM3440561_6929793111_R06C01","GSM3440561","GSE121633","ERC45KI2911 genomic DNA from whole blood","hm450k","whole_blood","F",60.266,"0.057","0.289","0.084","0.035","0.137","0.404",-3.970917,3.437119
"GSM3440562.1607013450.hlink.GSM3440562_6929793111_R01C02","GSM3440562","GSE121633","ERC45KI2912 genomic DNA from whole blood","hm450k","whole_blood","F",60.753,"0.1","0.248","0.104","0.025","0.131","0.411",-0.6300465,9.137046
"GSM3440563.1607013450.hlink.GSM3440563_6042308121_R04C01","GSM3440563","GSE121633","ERC45KI2922 genomic DNA from whole blood","hm450k","whole_blood","F",50.497,"0.129","0.279","0.068","0.098","0.065","0.4",22.07583,6.815043
"GSM3440564.1607013450.hlink.GSM3440564_6057825005_R06C02","GSM3440564","GSE121633","ERC45KI2961 genomic DNA from whole blood","hm450k","whole_blood","F",61.357,"0","0.077","0.109","0.009","0.121","0.666",-21.25684,-12.31466
"GSM3440565.1607013450.hlink.GSM3440565_6057825006_R03C01","GSM3440565","GSE121633","ERC45KI2962 genomic DNA from whole blood","hm450k","whole_blood","F",62.395,"0","0.16","0.084","0","0.097","0.627",-11.08255,-0.4210654
"GSM3440566.1607013450.hlink.GSM3440566_6057825036_R06C02","GSM3440566","GSE121633","ERC45KI2972 genomic DNA from whole blood","hm450k","whole_blood","F",65.523,"0.111","0.147","0.109","0.103","0.083","0.484",19.89729,-0.2707661
"GSM3440567.1607013450.hlink.GSM3440567_6929742027_R03C02","GSM3440567","GSE121633","ERC45KI2991 genomic DNA from whole blood","hm450k","whole_blood","F",62.51,"0.09","0.125","0.143","0.026","0.084","0.52",-20.62463,1.400071
"GSM3440568.1607013450.hlink.GSM3440568_6057825025_R03C01","GSM3440568","GSE121633","ERC45KI3001 genomic DNA from whole blood","hm450k","whole_blood","F",49.708,"0.099","0.288","0.078","0.109","0.088","0.399",28.11041,6.331585
"GSM3440569.1607013450.hlink.GSM3440569_6055432084_R04C02","GSM3440569","GSE121633","ERC45KI3021 genomic DNA from whole blood","hm450k","whole_blood","F",53.948,"0.128","0.272","0.15","0.064","0.159","0.211",-23.55978,19.92104
"GSM3440570.1607013450.hlink.GSM3440570_6929742080_R03C02","GSM3440570","GSE121633","ERC45KI3042 genomic DNA from whole blood","hm450k","whole_blood","F",71.722,"0","0.184","0.095","0.117","0.109","0.491",-9.679508,-1.791933
"GSM3440571.1607013450.hlink.GSM3440571_6929742055_R03C02","GSM3440571","GSE121633","ERC45KI3061 genomic DNA from whole blood","hm450k","whole_blood","F",58.974,"0.027","0.203","0.055","0.067","0.093","0.545",2.152017,-5.757484
"GSM3440572.1607013450.hlink.GSM3440572_6929742055_R04C02","GSM3440572","GSE121633","ERC45KI3062 genomic DNA from whole blood","hm450k","whole_blood","F",55.239,"0","0.133","0.05","0.046","0.119","0.647",3.117652,-10.48517
"GSM3440573.1607013450.hlink.GSM3440573_6929806013_R05C02","GSM3440573","GSE121633","ERC45KI3091 genomic DNA from whole blood","hm450k","whole_blood","F",62.907,"0","0.256","0.056","0.026","0.097","0.543",-25.47272,-1.792515
"GSM3440574.1607013450.hlink.GSM3440574_6929806013_R06C02","GSM3440574","GSE121633","ERC45KI3092 genomic DNA from whole blood","hm450k","whole_blood","F",59.085,"0","0.243","0.103","0.037","0.12","0.477",-27.85262,-4.055053
"GSM3440575.1607013450.hlink.GSM3440575_6055432168_R05C02","GSM3440575","GSE121633","ERC45KI3101 genomic DNA from whole blood","hm450k","whole_blood","F",56.8,"0","0.167","0.027","0","0.09","0.679",-23.22442,-7.573032
"GSM3440576.1607013450.hlink.GSM3440576_6055432168_R06C02","GSM3440576","GSE121633","ERC45KI3102 genomic DNA from whole blood","hm450k","whole_blood","F",53.125,"0","0.176","0.03","0.021","0.082","0.668",-20.57087,-9.843487
"GSM3440577.1607013450.hlink.GSM3440577_6057825036_R04C01","GSM3440577","GSE121633","ERC45KI3111 genomic DNA from whole blood","hm450k","other/NOS","F",60.235,"0.077","0.138","0.065","0.092","0.062","0.614",25.78227,-7.886332
"GSM3440578.1607013450.hlink.GSM3440578_6057825036_R05C01","GSM3440578","GSE121633","ERC45KI3112 genomic DNA from whole blood","hm450k","other/NOS","F",58.471,"0.066","0.128","0.091","0.08","0.045","0.631",25.1092,-5.902922
"GSM3440579.1607013450.hlink.GSM3440579_6057825042_R04C02","GSM3440579","GSE121633","ERC45KI3131 genomic DNA from whole blood","hm450k","whole_blood","F",63.675,"0.032","0.41","0.035","0.029","0.046","0.459",-5.714249,3.746398
"GSM3440580.1607013450.hlink.GSM3440580_6057825042_R05C02","GSM3440580","GSE121633","ERC45KI3132 genomic DNA from whole blood","hm450k","whole_blood","F",67.171,"0.04","0.359","0.049","0.039","0.057","0.471",-0.1982694,3.717581
"GSM3440581.1607013450.hlink.GSM3440581_6042308005_R05C02","GSM3440581","GSE121633","ERC45KI3141 genomic DNA from whole blood","hm450k","whole_blood","F",56.02,"0.066","0.199","0.071","0.045","0.078","0.552",3.176634,-8.86105
"GSM3440582.1607013450.hlink.GSM3440582_6057825046_R01C01","GSM3440582","GSE121633","ERC45KI3151 genomic DNA from whole blood","hm450k","whole_blood","F",78.628,"0","0.222","0.022","0.002","0.095","0.662",32.2573,12.58817
"GSM3440583.1607013450.hlink.GSM3440583_6057825046_R03C01","GSM3440583","GSE121633","ERC45KI3152 genomic DNA from whole blood","hm450k","whole_blood","F",81.066,"0.031","0.263","0.063","0.077","0.161","0.469",5.30862,12.57556
"GSM3440584.1607013450.hlink.GSM3440584_6929793057_R06C02","GSM3440584","GSE121633","ERC45KI3161 genomic DNA from whole blood","hm450k","whole_blood","F",62.772,"0","0.172","0.108","0.084","0.093","0.546",5.485799,0.2298743
